,Unnamed: 0,ImageName,Labels,Prompts,Answers
0,0,./Data/data/sketch/tx_000000000000/car_(sedan)/n02958343_8028-1.png,car_(sedan),"['USER: <image>\nWhat is drawn in this art sketch ? What are the specific features of this subject (pose, where is it viewed from, sub-category, ...) ?\nASSISTANT:']"," In this art sketch, a car is drawn. The specific features of the car include its make, model, and color. The car is viewed from the front, and it is a two-door car. The sketch also includes a wheel, which is a part of the car's overall design."
1,1,./Data/data/sketch/tx_000000000000/bicycle/n03792782_12258-3.png,bicycle,"['USER: <image>\nWhat is drawn in this art sketch ? What are the specific features of this subject (pose, where is it viewed from, sub-category, ...) ?\nASSISTANT:']"," The art sketch features a bicycle, which is a two-wheeled vehicle powered by pedaling. The bicycle is drawn in black and white, giving it a classic and timeless appearance. The specific features of the bicycle include the handlebars, which are the controls used to steer the bike, and the spokes, which are the metal components that hold the wheels together. The bicycle is viewed from the side, showcasing"
2,2,./Data/data/sketch/tx_000000000000/ape/n02480495_7208-4.png,ape,"['USER: <image>\nWhat is drawn in this art sketch ? What are the specific features of this subject (pose, where is it viewed from, sub-category, ...) ?\nASSISTANT:']"," The art sketch features a naked figure, possibly a man, with a staff in his hand. The figure is viewed from the side, and it appears to be a drawing of a person in a specific pose. The subject is a nude male, and the artwork is a black and white sketch."
3,3,./Data/data/sketch/tx_000000000000/racket/n04039381_7315-1.png,racket,"['USER: <image>\nWhat is drawn in this art sketch ? What are the specific features of this subject (pose, where is it viewed from, sub-category, ...) ?\nASSISTANT:']"," In the art sketch, a magnifying glass is drawn. The specific features of this subject include the magnifying glass's lens, which is the main focus of the image, and the handle, which is the part that the user would hold onto while using the magnifying glass. The image is viewed from a side angle, providing a clear view of the magnifying glass's design and structure."
4,4,./Data/data/sketch/tx_000000000000/windmill/n04587559_13336-5.png,windmill,"['USER: <image>\nWhat is drawn in this art sketch ? What are the specific features of this subject (pose, where is it viewed from, sub-category, ...) ?\nASSISTANT:']"," In the art sketch, a windmill is drawn. The specific features of this subject include the windmill's structure, the blades, and the overall shape. The windmill is viewed from the side, and it is a prominent feature in the scene. The drawing captures the essence of the windmill, showcasing its unique design and function as a source of energy through wind power."
5,5,./Data/data/sketch/tx_000000000000/rifle/n02749479_4107-6.png,rifle,"['USER: <image>\nWhat is drawn in this art sketch ? What are the specific features of this subject (pose, where is it viewed from, sub-category, ...) ?\nASSISTANT:']"," In the art sketch, a gun is drawn, specifically a rifle. The image is viewed from the side, and it is a close-up of the rifle. The rifle is a sub-category of firearms, and it is depicted in a black and white style."
6,6,./Data/data/sketch/tx_000000000000/dolphin/n02068974_966-5.png,dolphin,"['USER: <image>\nWhat is drawn in this art sketch ? What are the specific features of this subject (pose, where is it viewed from, sub-category, ...) ?\nASSISTANT:']"," The art sketch features a dolphin, which is a type of aquatic mammal. The dolphin is viewed from the side, and it appears to be in a relaxed pose. The dolphin is a subcategory of marine mammals, and it is a popular subject in art and literature due to its intelligence, social behavior, and graceful appearance."
7,7,./Data/data/sketch/tx_000000000000/fan/n03271574_15115-3.png,fan,"['USER: <image>\nWhat is drawn in this art sketch ? What are the specific features of this subject (pose, where is it viewed from, sub-category, ...) ?\nASSISTANT:']"," In this art sketch, a fan is drawn. The specific features of this subject include the pose, which is viewed from the side, and the sub-category, which is a fan. The fan is a common household item used for cooling and ventilation purposes. The image captures the essence of the fan, showcasing its design and structure."
8,8,./Data/data/sketch/tx_000000000000/giraffe/n02439033_14609-4.png,giraffe,"['USER: <image>\nWhat is drawn in this art sketch ? What are the specific features of this subject (pose, where is it viewed from, sub-category, ...) ?\nASSISTANT:']"," The art sketch features a cow, specifically a bull, with horns. The cow is viewed from the side, and it appears to be looking at the viewer. The bull is the main subject of the sketch, and it is a black and white drawing. The specific features of the bull include its horns, which are prominently displayed, and its overall shape, which gives the impression of a powerful and majestic animal."
9,9,./Data/data/sketch/tx_000000000000/cat/n02121620_5286-6.png,cat,"['USER: <image>\nWhat is drawn in this art sketch ? What are the specific features of this subject (pose, where is it viewed from, sub-category, ...) ?\nASSISTANT:']"," In this art sketch, a cat is drawn. The cat is viewed from the side, and it is sitting on the ground. The specific features of the cat include its ears, eyes, and mouth. The cat is also described as fat, which adds to its distinct appearance in the drawing."
